mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,fg_id,fg_name,fg_pos,lahman_id,retro_id,retro_name,debut
407835,Jason Lane,P,SD,San Diego Padres,R,L,1976,24,laneja01,Jason Lane,1397,Jason Lane,OF,laneja01,lanej001,Jason Lane,20020510
405395,Albert Pujols,1B,LAA,Los Angeles Angels,R,R,1980,204,pujolal01,Albert Pujols,1177,Albert Pujols,1B,pujolal01,pujoa001,Albert Pujols,20010402
407296,Carlos Zambrano,P,MIA,Miami Marlins,S,R,1981,277,zambrca01,Carlos Zambrano,305,Carlos Zambrano,,zambrca01,zambc001,Carlos Zambrano,20010820
134181,Adrian Beltre,3B,TEX,Texas Rangers,R,R,1979,340,beltrad01,Adrian Beltre,639,Adrian Beltre,,beltrad01,belta001,Adrian Beltre,19980624
285131,Cesar Izturis,SS,HOU,Houston Astros,S,R,1980,364,izturce01,Cesar Izturis,656,Cesar Izturis,,izturce01,iztuc001,Cesar Izturis,20010623
424325,David Ross,C,CHC,Chicago Cubs,R,R,1977,379,rossda01,David Ross,1551,David Ross,C,rossda01,rossd001,David Ross,20020629
346795,Endy Chavez,OF,SEA,Seattle Mariners,L,L,1978,393,chaveen01,Endy Chavez,768,Endy Chavez,,chaveen01,chave002,Endy Chavez,20010529
112526,Bartolo Colon,P,TEX,Texas Rangers,R,R,1973,395,colonba01,Bartolo Colon,375,Bartolo Colon,,colonba01,colob001,Bartolo Colon,19970404
150275,Yorvit Torrealba,C,LAA,Los Angeles Angels,R,R,1978,476,torreyo01,Yorvit Torrealba,1135,Yorvit Torrealba,C,torreyo01,torry001,Yorvit Torrealba,20010905
277417,Josh Beckett,P,LAD,Los Angeles Dodgers,R,R,1980,489,beckejo02,Josh Beckett,510,Josh Beckett,,beckejo02,beckj002,Josh Beckett,20010904
340192,Marco Scutaro,2B,SF,San Francisco Giants,R,R,1975,579,scutama01,Marco Scutaro,1555,Marco Scutaro,2B/SS,scutama01,scutm001,Marco Scutaro,20020721
421064,Ty Wigginton,1B,MIA,Miami Marlins,R,R,1977,592,wiggity01,Ty Wigginton,1491,Ty Wigginton,1B/3B,wiggity01,wiggt001,Ty Wigginton,20020516
408241,Jake Peavy,P,SF,San Francisco Giants,R,R,1981,638,peavyja01,Jake Peavy,1051,Jake Peavy,P,peavyja01,peavj001,Jake Peavy,20020622
424144,Oliver Perez,P,CLE,Cleveland Indians,L,L,1981,639,perezol01,Oliver Perez,1514,Oliver Perez,P,perezol01,pereo002,Oliver Perez,20020616
407781,Marlon Byrd,OF,CLE,Cleveland Indians,R,R,1977,656,byrdma01,Marlon Byrd,950,Marlon Byrd,,byrdma01,byrdm001,Marlon Byrd,20020908
346857,Nick Punto,2B,OAK,Oakland Athletics,S,R,1977,686,puntoni01,Nick Punto,1429,Nick Punto,2B/3B/SS,puntoni01,puntn001,Nick Punto,20010909
276519,Jimmy Rollins,SS,CWS,Chicago White Sox,S,R,1978,688,rolliji01,Jimmy Rollins,971,Jimmy Rollins,,rolliji01,rollj001,Jimmy Rollins,20000917
276520,Bronson Arroyo,P,CIN,Cincinnati Reds,R,R,1977,702,arroybr01,Bronson Arroyo,978,Bronson Arroyo,,arroybr01,arrob001,Bronson Arroyo,20000612
346847,Joe Beimel,P,SEA,Seattle Mariners,L,L,1977,703,beimejo01,Joe Beimel,979,Joe Beimel,,beimejo01,beimj001,Joe Beimel,20010408
285064,Ryan Vogelsong,P,SF,San Francisco Giants,R,R,1977,746,vogelry01,Ryan Vogelsong,1011,Ryan Vogelsong,P,vogelry01,voger001,Ryan Vogelsong,20000902
400290,Austin Kearns,OF,MIA,Miami Marlins,R,R,1980,783,kearnau01,Austin Kearns,332,Austin Kearns,,kearnau01,keara001,Austin Kearns,20020417
280061,Corky Miller,C,CIN,Cincinnati Reds,R,R,1976,790,milleco01,Corky Miller,342,Corky Miller,,milleco01,millc001,Corky Miller,20010904
346874,Juan Uribe,3B,CLE,Cleveland Indians,R,R,1979,858,uribeju01,Juan Uribe,454,Juan Uribe,,uribeju01,uribj002,Juan Uribe,20010408
408210,Chone Figgins,3B,LAD,Los Angeles Dodgers,S,R,1978,876,figgich01,Chone Figgins,1580,Chone Figgins,3B/OF,figgich01,figgc001,Chone Figgins,20020825
407793,John Lackey,P,CHC,Chicago Cubs,R,R,1978,886,lackejo01,John Lackey,1507,John Lackey,P,lackejo01,lackj001,John Lackey,20020624
421685,Aaron Harang,P,PHI,Philadelphia Phillies,R,R,1978,932,haranaa01,Aaron Harang,1451,Aaron Harang,P,haranaa01,haraa001,Aaron Harang,20020525
407193,Brandon Lyon,P,NYM,New York Mets,R,R,1979,999,lyonbr01,Brandon Lyon,1312,Brandon Lyon,P,lyonbr01,lyonb003,Brandon Lyon,20010804
150029,Jayson Werth,OF,WSH,Washington Nationals,R,R,1979,1020,werthja01,Jayson Werth,1327,Jayson Werth,OF,werthja01,wertj001,Jayson Werth,20020901
408307,Carl Crawford,OF,LAD,Los Angeles Dodgers,L,L,1981,1037,crawfca02,Carl Crawford,1201,Carl Crawford,OF,crawfca02,crawc002,Carl Crawford,20020720
424825,Coco Crisp,OF,CLE,Cleveland Indians,S,R,1979,1084,crispco01,Coco Crisp,1572,Coco Crisp,OF,crispco01,crisc001,Coco Crisp,20020815
424324,Cliff Lee,P,PHI,Philadelphia Phillies,L,L,1978,1102,leecl02,Cliff Lee,1636,Cliff Lee,P,leecl02,lee-c003,Cliff Lee,20020915
400121,Victor Martinez,DH,DET,Detroit Tigers,S,R,1978,1105,martivi01,Victor Martinez,393,Victor Martinez,,martivi01,martv001,Victor Martinez,20020910
408252,Brandon Phillips,2B,BOS,Boston Red Sox,R,R,1981,1113,phillbr01,Brandon Phillips,791,Brandon Phillips,,phillbr01,philb001,Brandon Phillips,20020913
282332,CC Sabathia,P,NYY,New York Yankees,L,L,1980,1117,sabatc.01,CC Sabathia,404,CC Sabathia,,sabatcc01,sabac001,CC Sabathia,20010408
217100,Willie Bloomquist,SS,SEA,Seattle Mariners,R,R,1977,1139,bloomwi01,Willie Bloomquist,1066,Willie Bloomquist,SS/OF,bloomwi01,bloow001,Willie Bloomquist,20020901
400089,Rafael Soriano,P,CHC,Chicago Cubs,R,R,1979,1182,soriara01,Rafael Soriano,1100,Rafael Soriano,P,soriara01,sorir001,Rafael Soriano,20020510
400085,Ichiro Suzuki,OF,SEA,Seattle Mariners,L,R,1973,1184,suzukic01,Ichiro Suzuki,1101,Ichiro Suzuki,OF,suzukic01,suzui001,Ichiro Suzuki,20010402
407853,Erik Bedard,P,TB,Tampa Bay Rays,L,L,1979,1195,bedarer01,Erik Bedard,126,Erik Bedard,,bedarer01,bedae001,Erik Bedard,20020417
406878,Brian Roberts,2B,NYY,New York Yankees,S,R,1977,1240,roberbr01,Brian Roberts,166,Brian Roberts,,roberbr01,robeb003,Brian Roberts,20010614
276542,Joaquin Benoit,P,WSH,Washington Nationals,R,R,1977,1250,benoijo01,Joaquin Benoit,1437,Joaquin Benoit,P,benoijo01,benoj001,Joaquin Benoit,20010808
400098,Travis Hafner,DH,NYY,New York Yankees,L,R,1977,1264,hafnetr01,Travis Hafner,1573,Travis Hafner,DH,hafnetr01,hafnt001,Travis Hafner,20020806
407890,Colby Lewis,P,TEX,Texas Rangers,R,R,1979,1275,lewisco01,Colby Lewis,1259,Colby Lewis,P,lewisco01,lewic001,Colby Lewis,20020401
407886,Ryan Ludwick,OF,TEX,Texas Rangers,R,L,1978,1276,ludwiry01,Ryan Ludwick,1260,Ryan Ludwick,OF,ludwiry01,ludwr001,Ryan Ludwick,20020605
346793,Jeremy Affeldt,P,SF,San Francisco Giants,L,L,1979,1354,affelje01,Jeremy Affeldt,583,Jeremy Affeldt,,affelje01,affej001,Jeremy Affeldt,20020406
136860,Carlos Beltran,DH,HOU,Houston Astros,S,R,1977,1358,beltrca01,Carlos Beltran,589,Carlos Beltran,,beltrca01,beltc001,Carlos Beltran,19980914
213680,Mike MacDougal,P,LAD,Los Angeles Dodgers,S,R,1977,1385,macdomi01,Mike MacDougal,612,Mike MacDougal,,macdomi01,macdm001,Mike MacDougal,20010922
408299,Omar Infante,2B,KC,Kansas City Royals,R,R,1981,1424,infanom01,Omar Infante,1609,Omar Infante,2B,infanom01,infao001,Omar Infante,20020907
276346,Brandon Inge,3B,PIT,Pittsburgh Pirates,R,R,1977,1425,ingebr01,Brandon Inge,470,Brandon Inge,,ingebr01,ingeb001,Brandon Inge,20010403
400076,Shane Loux,P,SF,San Francisco Giants,R,R,1979,1432,louxsh01,Shane Loux,1613,Shane Loux,P,louxsh01,louxs001,Shane Loux,20020910
150289,Carlos Pena,1B,TEX,Texas Rangers,L,L,1978,1443,penaca01,Carlos Pena,934,Carlos Pena,,penaca01,penac001,Carlos Pena,20010905
